starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 17 18:03:16 2024	1713391396	9	27	35	27
Wed Apr 17 18:03:16 2024	1713391396	8	28	36	28
Wed Apr 17 18:03:16 2024	1713391396	10	27	37	27
Wed Apr 17 18:03:16 2024	1713391396	10	27	38	27
Wed Apr 17 18:03:16 2024	1713391396	9	29	38	29
Wed Apr 17 18:03:16 2024	1713391396	9	29	38	28
Wed Apr 17 18:03:16 2024	1713391396	9	29	38	29
Wed Apr 17 18:03:16 2024	1713391396	9	29	38	29
Wed Apr 17 18:03:16 2024	1713391396	10	28	38	28
Wed Apr 17 18:03:16 2024	1713391396	7	31	38	30
Wed Apr 17 18:03:16 2024	1713391396	8	30	38	30
Wed Apr 17 18:03:16 2024	1713391396	9	29	38	29
Wed Apr 17 18:03:16 2024	1713391396	10	28	38	28
Wed Apr 17 18:03:16 2024	1713391396	9	29	38	29
Wed Apr 17 18:03:16 2024	1713391396	10	28	38	28
Wed Apr 17 18:03:16 2024	1713391396	10	28	38	28
Wed Apr 17 18:03:16 2024	1713391396	8	31	39	28
Wed Apr 17 18:03:16 2024	1713391396	9	29	39	29
Wed Apr 17 18:03:16 2024	1713391396	10	29	39	29
Wed Apr 17 18:03:16 2024	1713391396	9	29	39	29
Wed Apr 17 18:03:16 2024	1713391396	10	29	39	29
Wed Apr 17 18:03:16 2024	1713391396	10	29	39	29
Wed Apr 17 18:03:16 2024	1713391396	9	30	39	30
Wed Apr 17 18:03:16 2024	1713391396	9	30	39	30
Wed Apr 17 18:03:16 2024	1713391396	10	29	39	29
Wed Apr 17 18:03:16 2024	1713391396	9	30	39	30
Wed Apr 17 18:03:16 2024	1713391396	8	31	39	31
Wed Apr 17 18:03:16 2024	1713391396	10	29	39	29
Wed Apr 17 18:03:16 2024	1713391396	10	30	39	30
Wed Apr 17 18:03:16 2024	1713391396	11	28	39	28
Wed Apr 17 18:03:16 2024	1713391396	10	29	40	29
Wed Apr 17 18:03:16 2024	1713391396	11	29	40	29
Wed Apr 17 18:03:16 2024	1713391396	10	30	40	30
Wed Apr 17 18:03:16 2024	1713391396	9	31	40	31
Wed Apr 17 18:03:16 2024	1713391396	9	31	40	31
Wed Apr 17 18:03:16 2024	1713391396	10	31	40	30
Wed Apr 17 18:03:16 2024	1713391396	10	30	40	30
Wed Apr 17 18:03:16 2024	1713391396	10	30	40	30
Wed Apr 17 18:03:16 2024	1713391396	10	30	40	30
Wed Apr 17 18:03:16 2024	1713391396	9	31	40	31
Wed Apr 17 18:03:16 2024	1713391396	9	31	40	31
Wed Apr 17 18:03:16 2024	1713391396	11	29	40	29
Wed Apr 17 18:03:16 2024	1713391396	12	28	40	28
Wed Apr 17 18:03:16 2024	1713391396	11	30	40	30
Wed Apr 17 18:03:16 2024	1713391396	9	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	9	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	9	32	41	31
Wed Apr 17 18:03:16 2024	1713391396	10	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	30
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	10	30	41	27
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	9	32	41	32
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	8	33	41	32
Wed Apr 17 18:03:16 2024	1713391396	8	33	41	33
Wed Apr 17 18:03:16 2024	1713391396	8	33	41	32
Wed Apr 17 18:03:16 2024	1713391396	12	29	41	29
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	10	32	41	31
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	9	32	41	32
Wed Apr 17 18:03:16 2024	1713391396	8	33	41	33
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	12	29	41	29
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	12	29	41	29
Wed Apr 17 18:03:16 2024	1713391396	10	32	41	32
Wed Apr 17 18:03:16 2024	1713391396	11	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	9	32	41	32
Wed Apr 17 18:03:16 2024	1713391396	11	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	12	29	41	29
Wed Apr 17 18:03:16 2024	1713391396	10	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	11	31	41	31
Wed Apr 17 18:03:16 2024	1713391396	12	30	41	30
Wed Apr 17 18:03:16 2024	1713391396	9	32	41	32
Wed Apr 17 18:03:16 2024	1713391396	12	29	41	29
Wed Apr 17 18:03:16 2024	1713391396	10	31	42	31
Wed Apr 17 18:03:16 2024	1713391396	9	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	31	42	30
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	9	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	13	28	42	28
Wed Apr 17 18:03:16 2024	1713391396	12	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	12	29	42	29
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	11	31	42	31
Wed Apr 17 18:03:16 2024	1713391396	11	31	42	31
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	11	31	42	31
Wed Apr 17 18:03:16 2024	1713391396	9	33	42	33
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	11	31	42	31
Wed Apr 17 18:03:16 2024	1713391396	10	31	42	31
Wed Apr 17 18:03:16 2024	1713391396	12	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	31	42	31
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	12	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	9	33	42	31
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	12	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	12	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	12	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	11	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	33	42	33
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	9	33	42	33
Wed Apr 17 18:03:16 2024	1713391396	10	33	42	33
Wed Apr 17 18:03:16 2024	1713391396	12	31	42	30
Wed Apr 17 18:03:16 2024	1713391396	14	29	42	29
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	9	33	42	31
Wed Apr 17 18:03:16 2024	1713391396	11	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	9	33	42	33
Wed Apr 17 18:03:16 2024	1713391396	14	29	42	29
Wed Apr 17 18:03:16 2024	1713391396	12	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	6	36	42	36
Wed Apr 17 18:03:16 2024	1713391396	11	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	7	35	42	35
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	29
Wed Apr 17 18:03:16 2024	1713391396	13	30	42	30
Wed Apr 17 18:03:16 2024	1713391396	10	33	42	33
Wed Apr 17 18:03:16 2024	1713391396	13	29	42	29
Wed Apr 17 18:03:16 2024	1713391396	10	32	42	32
Wed Apr 17 18:03:16 2024	1713391396	9	34	43	34
Wed Apr 17 18:03:16 2024	1713391396	14	29	43	29
Wed Apr 17 18:03:16 2024	1713391396	10	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	12	31	43	30
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	13	30	43	30
Wed Apr 17 18:03:16 2024	1713391396	9	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	9	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	10	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	9	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	10	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	12	30	43	30
Wed Apr 17 18:03:16 2024	1713391396	12	30	43	30
Wed Apr 17 18:03:16 2024	1713391396	12	31	43	31
Wed Apr 17 18:03:16 2024	1713391396	8	35	43	34
Wed Apr 17 18:03:16 2024	1713391396	10	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	9	34	43	34
Wed Apr 17 18:03:16 2024	1713391396	9	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	10	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	10	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	10	33	43	32
Wed Apr 17 18:03:16 2024	1713391396	10	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	12	31	43	30
Wed Apr 17 18:03:16 2024	1713391396	10	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	13	30	43	30
Wed Apr 17 18:03:16 2024	1713391396	10	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	10	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	9	34	43	34
Wed Apr 17 18:03:16 2024	1713391396	10	33	43	33
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	12	31	43	31
Wed Apr 17 18:03:16 2024	1713391396	8	35	43	35
Wed Apr 17 18:03:16 2024	1713391396	14	29	43	29
Wed Apr 17 18:03:16 2024	1713391396	7	36	43	36
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	11	32	43	32
Wed Apr 17 18:03:16 2024	1713391396	9	34	43	30
